cva,name,street,city,state and zip
1490,2727 Fairlawn Avenue SE,2727 Fairlawn Ave SE,Washington, DC 20019
1491,Gatewater Landing Apts,7357 Ridgewater Ct,Glen Burnie, MD 21060
1492,Bradley Blvd Apts,4709 Bradley Blvd,Chevy Chase, MD 20815
1493,Bradley Blvd Apts,4730 Bradley Blvd,Chevy Chase, MD 20815
1494,Bradley Blvd Apts,4740 Bradley Blvd,Chevy Chase, MD 20815
1495,Bradley Blvd Apts,4750 Chevy Chase Dr,Chevy Chase, MD 20815
1496,Bradley Blvd Apts,4757 Chevy Chase Dr,Chevy Chase, MD 20815
1497,Bradley Blvd Apts,4800 Wellington,Chevy Chase, MD 20815
1498,Bradley Blvd Apts,4804 Wellington,Chevy Chase, MD 20815
1499,Bradley Blvd Apts,4808 Wellington,Chevy Chase, MD 20815
1500,Sunrise Village,145 Jerome St,Roselle Park, NJ 07204
1501,Battery Park City Gateway Plaza,345 South End Ave,New York, NY 10280
1502,Battery Park City Gateway Plaza,355 South End Ave,New York, NY 10280
1503,Battery Park City Gateway Plaza,365 South End Ave,New York, NY 10280
1504,Battery Park City Gateway Plaza,375 South End Ave,New York, NY 10280
1505,Battery Park City Gateway Plaza,385 South End Ave,New York, NY 10280
1506,Battery Park City Gateway Plaza,395 South End Ave,New York, NY 10280
1507,Versailles on the Lake,1006 N Plumb Grove Rd,Schaumburg, IL 60173
1508,Versailles on the Lake,718 Butterfield Rd,Oakbrook, IL 60181
1509,Yorkewood Apts,1134 E Belvedere Ave,Baltimore, MD 21239
1510,The Common,1721 Anniston Rd,Jacksonville, FL 32246
1511,The Park at Salerno - CLUBHOUSE,2100 S Conway Rd - CLUBHOUSE,Orlando, FL 32812
1512,The Park at Salerno - BACK POOL,2100 S Conway Rd - BACK POOL,Orlando, FL 32812
1513,Wheatland Hills,19 Colonial Crest Dr,Lancaster, PA 17601
1514,Lake Place Homes Assoc,3421 Kent St,Shoreview, MN 55126
1515,King Oliver Owners Corp - Room 2,9265 Shore Rd - Room 2,Brooklyn, NY 11209
1516,Kensington Arms,1 Yorkshire Dr,East Windsor, NJ 08520
1518,Ocean Green Senior Apts,742 Ocean Ave,Jersey City, NJ 07304
1520,Granville Beach Condos,6171 N Sheridan Rd,Chicago, IL 60660
1521,Navy Yard Housing,45 N Elliot Pl,Brooklyn, NY 11205
1522,Doric,100 Manhattan Ave,Union City, NJ 07087
1523,University Crest Apts,1616 Royal Crest Dr,Austin, TX 78741
1524,999 North Doheny Drive,999 N Doheny Dr,West Hollywood, CA 90069
1525,College Square Apts,1994 SW 31 Ave,Ocala, FL 34474
1526,13140 Dronfield Street,13140 Dronfield St,Sylmar, CA 91342
1527,14067 Astoria Street,14067 Astoria St,Sylmar, CA 91342
1528,Water's Edge Habitat - A,40 W 4 St - A,Patchogue, NY 11772
1529,Water's Edge Habitat - B,40 W 4 St - B,Patchogue, NY 11772
1530,Water's Edge Habitat - C,40 W 4 St - C,Patchogue, NY 11772
1531,Mesa Vista Apts  - Room 1,7101 S Hallmark Dr - Room 1,Fort Worth, TX 76134
1532,Mesa Vista Apts - Room 2,7101 S Hallmark Dr - Room 2,Fort Worth, TX 76134
1533,201 Los Arbolitos Blvd,201 Los Arbolitos Blvd,Oceanside, CA 92054
1534,Canyon Ranch Apt,3688 Parkmoor Village,Colorado Springs, CO 80917
1535,available,Available,available, CA 92111
1536,Home Apts,4665 Home Ave,San Diego, CA 92105
1537,available,available,available, NY 11803
1538,Chanticleer Apts,1421-B Automne Ct,Virginia Beach, VA 23451
1539,554 West 157th Street,544 W 157 St,New York, NY 10032
1540,65 Park Place,65 Park Pl,Brooklyn, NY 11217
1541,The Eli,227 Church St,New Haven, CT 06510
1542,1319 Bedford Avenue,1319 Bedrord Ave,Brooklyn, NY 11216
1544,Longview Apts,13723 Lynn St,Woodbridge, VA 22191
1545,The Kayak Crossing Apts,41929 US Hwy 6,Avaon, CO 81620
1546,Eaglebend Apts - Clubhouse,10 Stonebridge Dr - Clubhouse,Avon, CO 81620
1547,Buffalo Ridge,950 Swift Gulch Rd,Avon, CO 81620
1548,Newgate at Wheatridge,10400 W 44 Ave,Wheatridge, CO 80032
1549,Eaglebend Apts - Bldg G,10 Stonebridge Dr - Bldg G,Avon, CO 81620
1550,London House Condos,1233 Ogden St,Denver, CO 80218
1551,Canyon Rim Apts - Laundryroom 1,10845 Via Los Narcisos - LR 1,San Diego, CA 92129
1552,Canyon Rim Apts - Laundryroom 2,10845 Via Los Narcisos - LR 2,San Diego, CA 92129
1553,Canyon Rim Apts - Laundryroom 3,10845 Via Los Narcisos - LR 3,San Diego, CA 92129
1554,Canyon Rim Apts - Laundryroom 4,10845 Via Los Narcisos - LR 4,San Diego, CA 92129
1555,Canyon Rim Apts - Laundryroom 5,10845 Via Los Narcisos - LR 5,San Diego, CA 92129
1556,Canyon Rim Apts - Laundryroom 6,10845 Via Los Narcisos - LR 6,San Diego, CA 92129
1557,Canyon Rim Apts - Laundryroom 7,10845 Via Los Narcisos - LR 7,San Diego, CA 92129
1558,Canyon Rim Apts - Laundryroom 8,10845 Via Los Narcisos - LR 8,San Diego, CA 92129
1559,305 West 55th Street,305 W 55 St,New York, NY 10019
1560,Imperial Plaza,131 74 St,Brooklyn, NY 11209
1561,Fairmont 5601 Condominium,5601 Parker House Terr,Hyattsville, MD 20702
1562,Fairmont 1009 Condominium,1009 Chillum Rd,Hyattasville, MD 20702
1563,Fairmont 1001 Condominium,1001 Chillum Rd,Hyattsville, MD 20702
1564,Post Coles Corner,3304 Cole Ave,Dallas, TX 75204
1565,343 West 14th Street,343 W 14 St,New York, NY 10014
1566,Tudor Oaks - Room A,325 Tudor La - Room A,Middle Island, NY 11953
1567,Tudor Oaks - Room B,325 Tudor La - Room B,Middle Island, NY 11953
1568,Buffalo Ridge,1050 Swift Gulch Rd,Buffalo, CO 81620
1569,Sylvan Flats,625 red table dr,Gypsum, CO 81637
1570,Fairmont 1005 Condominium,1005 Chillum Rd,Hyattsville, MD 20702
1571,Stratton Apts - Bldg 1,3884 1/2 Caminito Aquilar - Bldg 1,San Diego, CA 92111
1572,Stratton Apts - Bldg 2,3884 1/2 Caminito Aquilar - Bldg 2,San Diego, CA 92111
1573,Stratton Apts - Bldg 3,3884 1/2 Caminito Aquilar - Bldg 3,San Diego, CA 92111
1574,Stratton Apts - Bldg 4,3884 1/2 Caminito Aquilar - Bldg 4,San Diego, CA 92111
1575,Stratton Apts - Bldg 5,3884 1/2 Caminito Aquilar - Bldg 5,San Diego, CA 92111
1576,Stratton Apts - Bldg 6,3884 1/2 Caminito Aquilar - Bldg 6,San Diego, CA 92111
1577,Laurel Lake Apts,2220 E Stop 12 Rd,Indianapolis, IN 46227
1578,Miramonte Lodge,12200 SE Mcloughlin Blvd,Portland, OR 97222
1579,Island Club Apts,2300 Catalina Cir,Oceanside, CA 92056
1580,2055 Arnold Way,1751 University Ave - 2055 Arnold Way,Alpine, CA 91901
1581,Parker Towers,104-60 Queens Blvd,Forest Hills, NY 11375
1582,Parker Towers,104-20 Queens Blvd,Forest Hills, NY 11375
1583,Andrews Ridge,3800 Regency Pkwy,Suitland, MD 20746
1584,261 West 25th St.,261 West 25th St,New York, NY 10001
1585,White Bear Woods,4776 Centerville Rd,North Oaks, MN 55127
1586,STUYVESANT MANOR,575 HERKIMER ST,BROOKLYN, NY 11213
1587,GARDENS AT HIDDEN CREEK,1123 VERDE DR,COLORADO SPRINGS, CO 80910
1588,LAKES AT FOUNTAIN SQUARE,500 LAKEHURST RD,WAUKEGAN, IL 60085
1589,QUEBEC ARMS,1404 MERRIMAC DR,HYATTSVILLE, MD 20783
1590,Sierra Townhomes,2727 Godby Rd,Atlanta, GA 31349
1592,Terrace Gardens,1135 Florida Rd,Durango, CO 81301
1594,Maley Apts,600 S Beach St,Daytona Beach, FL 32114
1595,Windsor Apts - Daytona Beach,524 S Beach St,Daytona Beach, FL 32114
1596,Legation House,3737 Legation St NW,Washington, DC 20015
1597,Harbor House,31-2 Harbor Dr,Claymont, DE 19703
1598,613 Woodward Ave,613 Woodward Ave,Ridgewood, NY 11385
1599,317 E 18  St,317 E 18 St,New York, NY 10003
1600,234 E 23 ST,234 E 23 ST,New York, NY 10010
1601,245 E 40 St,245 E 40 St,New York, NY 10016
1602,Shaker Club Condos,19101 Van Aken Blvd,Shaker Heights, OH 44122
1603,634 Kosciuszko St,634 Kosciuszko St,Brooklyn, NY 11221
1604,Randolph Park,4516 Randolph,Charlotte, NC 28211
1605,Village At McKee Branch,1369 Walker Rd,Dover, DE 19904
1607,Midwestern University,555 31 St,Downers Grove, IL 60515
1608,Williams Reserve Apts,1245 Prairie Brook,Palatine, IL 60074
1609,10539-55 S Hale Ave,10539-55 S Hale Ave,Chicago, IL 60643
1610,Pendale Towers,460 Washington Rd,Mt Lebanon, PA 15228
1611,Louis Barrett Residence,147 Washington St,Lynn, MA 01902
1612,Seminary Towers,4701 Kenmore Ave,Alexandria, VA 22304
1613,21 Commercial St,21 Commercial St,Brooklyn, NY 11222
1614,6600 Yucca,6600 Yucca,Hollywood, CA 90028
1615,42514 Condo,425 14 St,Brooklyn, NY 11210
1616,42514 Condo,425 14 St,Brooklyn, NY 11210
1617,42515 Condo,425 14 St,Brooklyn, NY 11210
1618,Towers on Franklin - East,104 W Franklin St,Richmond, VA 23220
1619,Towers on Franklin - West,311 W Franklin St,Richmond, VA 23220
1620,Post Addison Circle,5009 Addison Circle,Addison, TX 75001
1621,Ocean Village,5715 Shore Front Pkwy,Arverne, NY 11692
1622,Creole on Yorktown,2400 Yorktown,Houston, TX 77056
1623,Blair House-Flushing,143-40 Roosevelt Ave,Flushing, NY 11354
1624,266 Washington Avenue,266 Washington Ave,Brooklyn, NY 11205
1625,Hillside Park - Sioux City,2800 W 4 St,Sioux City, IA 51103
1627,189 Schermerhorn St,189 Schermerhorn St,Brooklyn, NY 11201
1628,Moundford Terrace Apts,3750 N Woodford St,decatur, IL 62526
1629,Crown Colony,379 Imperial Way,Day City, CA 04015
1630,33 Eagle St.,33 Eagle St,Brooklyn, NY 11222
1631,The Modules,1417 North St,Philadelphia, PA 19121
1632,Woods Of Burnsville,14701 Portland Ave,Burnsville, MN 55306
1633,Westmont Village Apts,6708 Park Ln,Westmont, IL 60559
1634,Dennise Pines Condos,1146 Dennis RD,South Dennis, MA 02660
1635,Crosby Park,5535 NW Cache Rd,Lawton, OK 73505
1636,Crosby Park,5535 NW Cache Rd,Lawton, OK 73505
1637,Post Legacy,5741 Martin Rd,Plano, TX 75024
1638,Post Legacy,5741 Martin Rd,Plano, TX 75024
1639,Post Addison Circle,5009 Addison Circle,Addison, TX 75001
1640,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1641,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1642,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1643,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1644,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1645,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1646,Post Addison Circle,5009 Addison cir,Addison, TX 75001
1647,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1648,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1649,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1650,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1651,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1652,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1653,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1654,Post Addison Circle,5009 Addison Cir,Addison, TX 75001
1655,111 Park Dr,111 Park Dr,Boston, MA 02215
1656,35 Park Dr,35 Park Dr,Boston, MA 02215
1658,108  Jersey St,108 Jersey St,Boston, MA 02215
1659,Skyline Tower-Saint Paul,1247 Saint Anthony Ave,Saint Paul, MN 55104
1661,The Sinclair Apts,465 Washington St,Buffalo, NY 14203
1662,120 Peterborough St,120 Peterborough St,Boston, MA 02215
1663,124 Peterborough St,124 Peterborough St,Boston, MA 02215
1664,191 Park Dr,191 Park Dr,Boston, MA 02215
1665,195 Park Dr,195 Park  Dr,Boston, MA 02215
1666,51 Queensberry St,51 Queensberry St,Boston, MA 02215
1667,55 Queensberry St,55 Queensberry St,Boston, MA 02215
1668,105 Queensberry St,105 Queensberry St,Boston, MA 02215
1669,107 Queensberry St,107 Queensberry St,Boston, MA 02215
1670,109 Queensberry St,109 Queensberry St,Boston, MA 02215
1671,111 Queensberry St,111 Queensberry St,Boston, MA 02215
1672,15 Queensberry St,15 Queensberry St,Boston, MA 02215
1673,16 Queensberry St,16 Queensberry St,Boston, MA 02215
1674,19 Queensberry St,19 Queensberry St,Boston, MA 02215
1675,20 Queensberry St,20 Queensberry St,Boston, MA 02215
1676,24 Queensberry St,24 Queensberry St,Boston, MA 02215
1677,28 Queensberry St,28 Queensberry St,Boston, MA 02215
1678,32 Queensberry St,32 Queensberry St,Boston, MA 02215
1679,36 Queensberry St,36 Queensberry St,Boston, MA 02215
1680,40 Queensberry St-Rm 1,40 Queensberry St,Boston, MA 02215
1681,98 Queensberry St-Rm 1,98 Queensberry St,Boston, MA 02215
1682,100 Queensberry St,100 Queensberry St,Boston, MA 02215
1683,102 Queensberry St,102 Queensberry St,Boston, MA 02215
1684,104 Queensberry St,104 Queensberry St,Boston, MA 02215
1685,Hidden Oak Estates,4900 Edinborough Lane,Indianapolis, IN 46241
1686,Ashford at Henson Creek,3466 Brinkly Rd,Temple Hills, MD 20748
1687,Hunting Creek Club,2059 Huntington Ave,Alexandria, VA 22303
1688,Frederick at Courthouse,2230 Fairfax Dr,Arlington, VA 22201
1689,Key Towers,6060 Tower Ct,Alexandria, VA 22304
1690,2 E Oak St.-Rm 1,2 E Oak St,Chicago, IL 60611
1691,3 greenway ct,3 greenway ct,newton, MA 02446
1692,59-75 Wyman St,59-75 Wyman St,Newton, MA 02468
1693,379 Commonwealth Ave,379 Commonwealth Ave,boston, MA 02116
1694,24 Joy St,24 Joy St,Boston, MA 02114
1695,88 W Cedar St,88 W Cedar St,Boston, MA 02114
1696,457 Centre St,457 Centre St,Newton, MA 02458
1697,155 Henry St,155 Henry St,Brooklyn, NY 11201
1698,Tanglewood Apts,4241 Columbia Pike,Arlington, VA 22204
1699,Fairlawn,7412 Alvah Ave,Baltimore, MD 21222
1700,Huntington,5225 NW Connecticut Ave,Washington, DC 20015
1701,Fairway,1141 W 3900 S,Murray, UT 84123
1702,9500 Apts,95  Dessau Rd,Austin, TX 78754
1703,Magnolia Court Condos,7618 Forest City Rd,Orlando, FL 32810
1704,Eaglebend Apts #2,10 Stonebridge Dr Clubhouse,Avon, CO 81620
1705,Park Heights,2011 Arden Ave,Highland, CA 92346
1706,201-203 Washington St,201-203 Washington St,Hoboken, NJ 07030
1708,Post Vintage,2800 Cole Ave,Dallas, TX 75204
1709,Post Heights,3015 State St,Dallas, TX 75204
1710,Ashley River,1850 Ashley Crossing La,Charleston, SC 29414
1711,Town Terrace Apts,1440 N St NW,Washington, DC 20005
1712,117 Park Dr,117 Park Dr,Boston, MA 02215
1713,415 Suydam S,415 Suydam St,Brooklyn, NY 11237
1714,111 Seminary Dr Mill Valley,111 Seminary Dr,Mill Valley, CA 94941
1715,Skyline Heights,960 St Francis Blvd,Daly City, CA 94015
1716,34-39 82 ST,34-39 82 ST,Jackson Heights, NY 11372
1717,HP Management,1124 University Dr 3,Edwardsville, IL 62025
1718,17442 Sherman Way,17442 Sherman Way,Van Nuys, CA 91406
1719,14078 Astoria St,14078 Astoria St,Sylmar, CA 91342
1720,418 Pier Ave,418 Pier Ave,Santa Monica, CA 90405
1721,127 St Botolph St,127 St Botolph St,Boston, MA 02115
1722,320 Hammond Pond,320 Hammond Pond,Newton, MA 02467
1723,100 Jersey St,100 Jersey St,Boston, MA 02215
1724,Cobblestone Ridge Apts,4125 Pebbleridge Cir,Colorado Springs, CO 80906
1725,3636 Edison Ave,3636 Edison Ave,Sacramento, CA 95821
1726,112 Jersey St,112 Jersey St,Boston, MA 02215
1727,15736 Vanowen St,15736 Vanowen St,Van Nuys, CA 91406
1728,Winchester Place Apt,10910 Gold Point Dr,Houston, TX 77064
1729,Carleton Courtyard Apts,215 Market St,Galveston, TX 77550
1730,Emersonian,2502 Eutaw Pl,Baltimore, MD 21217
1731,Edgewood Park,611 Edgewood Rd,Edgewood, MD 21040
1732,Charles,333 N Charles S,Baltimore, MD 21218
1733,744 Girard St NW,744 Girard St NW,Washington, DC 20001
1734,Blackstone,3215 N Charles St,Baltimore, MD 21218
1735,Scarborough House,1000 East Ave,Rochester, NY 14607
1736,907 Broadway,907 Broadway,Brooklyn, NY 11206
1737,852 Hart St,852 Hart St,Brooklyn, NY 11237
1738,365 Bond St 1,365 Bond St 1,Brooklyn, NY 11231
1739,365 Bond St 2,365 Bond St 2,Brooklyn, NY 11231
1740,Old Willow Falls Condo Assoc,850 E Willow Rd,Prospect Heights, IL 60070
1741,Maryland Economic Dev Corp,408 Campus View Dr,Towson, MD 21204
1742,Navy Green R2,8 Vanderbilt Ave,Brooklyn, NY 11205
1743,195 Commonwealth Ave,195 Commonwealth Ave,Boston, MA 02116
1744,Wesleyan College of North Carolina - Wesleyan Inn,3400 N Wesleyan Blvd - Wesleyan Inn,Rocky Mount, NC 27804
1745,Foothill Place 1,2260 Foothill Dr,Salt Lake City, UT 84109
1746,Foothill Place,2260 Foothill Dr,Salt Lake City, UT 84109
1747,Compass One A,1480 Boone Ave,Bronx, NY 10460
1748,Compass One B,1500 Boone Ave,Bronx, NY 10460
1749,Sibley Manor,1291 Maynard DR E,Saint Paul, MN 55116
1750,Arbor Place Apts,5800 Barnes Rd S,Jacksonville, FL 32216
1751,Riveraine Apts,8181 Colony St,Houston, TX 77036
1752,Bryant Gardens Condo,5001 Green Mountain Cir,Columbia, MD 21044
1753,La Celia,64 E 111 St,New York, NY 10029
1754,Boston Crossing Apts,1320 Bonsal St,Baltimore, MD 21224
1755,609 West 114th St,609 West 114th St,New York, NY 10025
1756,9981-9999 Shore Rd,9981 Shore Rd,Brooklyn, NY 11209
1757,Aztec Villa Apts,8675 Mariposa St,Thornton, CO 80260
1758,Weston Ridge Apts,5904 S Datura St,Littleton, CO 80120
1759,The Severn,701 Cathedral St,Baltimore, MD 21201
1760,Westview,1059 Craftswood Rd,Baltimore, MD 21228
1761,Lake Place Homes Assoc,3399 Kent St,Shoreview, MN 55126
1762,Lake Place Homes Assoc,3431 Kent St,Shoreview, MN 55126
1763,Lake Place Homes Assoc,3461 Kent St,Shoreview, MN 55126
1764,Village of Bright Meadows,206 Frost Hill Dr,Owings Mills, MD 21117
1765,Kenwood Gardens Flats of Douglas,2629 Alisdale Dr,Toledo, OH 43606
1766,North Park Ave,4615 N Park Ave,Chevy Chase, MD 20815
1767,Saint Paul at Chase Condos,1101 Saint Paul St,Baltimore, MD 21202
1768,Edgewater Court,12418 Burt Plaza,Omaha, NE 68154
1769,Maple View Apts,3515 N 104 Street,Omaha, NE 68134
1770,Fox Valley Apts,3904 N 104 Ct,Omaha, NE 68134
1771,Willow Creek 7007,700 S 145 Street,Omaha, NE 68138
1772,Lamar Station,1445 Lamar St,Lakwood, CO 80214
1773,Carriage Green Apt,15951 E 13th Pl,Aurora, CO 80011
1774,Fox Ridge,10834 Cottonwood Ln,Omaha, NE 68164
1775,Patrick Henry College,1 Patrick Henry Cir,Purcellville, VA 20132
1776,Alvarado Place Apts,1465 Alavarado Dr,Colorado Springs, CO 80910
1777,Linda Vista Apts,6001 Oakland Hills Dr,Fort Worth, TX 76112
1778,Crystal View,12901 Bayport St,Garden Grove, CA 92840
1779,Chelsea Mews,148 W 23 St,New York, NY 10011
1780,Deerpath on the Lake Rm2,10200 North America Ave,Tampa, FL 33612
1781,108-50 62 Dr,108-50 62 Dr,Forest Hills, NY 11375
1782,69 S Oxford St,69 S Oxford St,Brooklyn, NY 11217
1783,Arlington Ridge Apts 1,1219 Taylor St S,Shakopee, MN 55379
1784,Arlington Ridge Apts 2,1219 Taylor St S,Shakopee, MN 55379
1785,Saddletree Apts,5710 Duck Creek Dr,Dallas, TX 75043
1786,Tralee Terrace/Dominium,9900 Redwood St NW,Coon Rapids, MN 55433
1788,Sedona Springs Apts,1516 Arbor Town Cir,Arlington, TX 76011
1789,Edgewater Towers,11720 Edgewater Dr,Lakewood, OH 44107
1790,Crystal View,12091 Bayport St #2,Garden Grove, CA 92840
1791,Crystal View,12091 Bayport St #3,Garden Grove, CA 92840
1792,Wentworth Apts,11205 E Alameda Ave,Aurora, CO 80012
1793,Northwest Park Apts #1,126 Colony Rd,Silver Springs, MD 20903
1794,Northwest Park Apts #2,126 Colony Rd,Silver Springs, MD 20903
1795,Planers Walk Apts,7350 Blanding Blvd,Jacksonville, FL 32244
1796,Butler Ridge,12026 Reisterstown Rd,Baltimore, MD 21136
1797,Allyson Gardens I,206 Frost Hill Dr,Owen Mills, MD 21117
1798,Lord Chesterfield Apts,10 Greenview St,Framingham, MA 01710
1799,Northwestern College,3003 Snelling Ave N,Saint Paul, MN 55113
1800,Creole On Yorktown 2,2400 Yorktown,Houston, TX 77056
1801,Bordeaux Apts,5010 Woodway Dr,Houston, TX 77056
1802,86 Forrester St SW,86 Forrester St SW,Washington, DC 20032
1803,9981-9999 Shore Rd #2,9981-9999 Shore Rd #2,Brooklyn, NY 11209
1804,9981-9999 Shore Rd #3,9981-9999 Shore Rd #3,Brooklyn, NY 11209
1805,9981-9999 Shore Rd #4,9981-9999 Shore Rd #4,Brooklyn, NY 11209
1806,9981-9999 Shore Rd #5,9981-9999 Shore Rd #5,Brooklyn, NY 11209
1807,9981-9999 Shore Rd #6,9981-9999 Shore Rd #6,Brooklyn, NY 11209
1808,9981-9999 Shore Rd #7,9981-9999 Shore Rd #7,Brooklyn, NY 11209
1809,9981-9999 Shore Rd #8,9981-9999 Shore Rd #8,Brooklyn, NY 11209
1810,9981-9999 Shore Rd #9,9981-9999 Shore Rd #9,Brooklyn, NY 11209
1811,9981-9999 Shore Rd #10,9981-9999 Shore Rd #10,Brooklyn, NY 11209
1812,9981-9999 Shore Rd #11,9981-9999 Shore Rd #11,Brooklyn, NY 11209
1813,9981-9999 Shore Rd #12,9981-9999 Shore Rd #12,Brooklyn, NY 11209
1814,9981-9999 Shore Rd #13,9981-9999 Shore Rd #13,Brooklyn, NY 11209
1815,9981-9999 Shore Rd #14,9981-9999 Shore Rd #14,Brooklyn, NY 11209
1816,9981-9999 Shore Rd #15,9981-9999 Shore Rd #15,Brooklyn, NY 11209
1817,Advenir at Cherry Creek North,900 S Quince St,Denver, CO 80247
1818,Ashford Santa Cruz,15915 Kuykendahl Rd,Houston, TX 77068
1819,Mangolia Manor Apts,2406 Country Club Rd,Duncan, OK 73533
1820,Hamilton Park Apts,6114 Fairdel Ave,Baltimore, MD 21206
1821,Good Acres Apts,8619 Pine Branch Rd,Silver Springs, MD 20901
1822,Capitol Plaza,35 E St NW,Washington, DC 20001
