cva,name,street,city,state and zip
2980,Canopy Place Apts,11050 Harts Rd,Jacksonville, FL 32218
2981,235 Lincoln Place,235 Lincoln Place,Brooklyn, NY 11217
2982,150 W Foothill Ave,150 W Foothill Ave,Pomona, CA 91711
2983,Lincoln Palms,1605 Jefferson Ave,Miami Beach, FL 33139
2984,2. Huntington,5225 NW Connecticut Ave,Washington, DC 20015
2985,2018 6 St,2018 6 St,Sacramento, CA 95818
2986,Atlantic Apts-Alameda,1825 Poggi St,Alameda, CA 94501
2987,Palm Grove Apts,2100 N Australian Ave,West Palm Beach, FL 33407
2988,Caribbean Villas Apts,5865 Haverhill Rd N,West Palm Beach, FL 33407
2989,Pleasant Pointe,1602 Green Mountain Dr,Little Rock, AR 72211
2990,Margate Tenants,183 3A Evergreens Rd,Edison, NJ 08837
2991,4401 Roland Avenue,4401 Roland Avenue,Baltimore, MD 21210
2992,19072 Main St,19072 Main St,Huntington Beach, CA 92648
2993,6061 Gossett Way,6061 Gossett Way,Marysville, CA 95901
2994,Pine Crest Apartment Homes,1952 Mc Millan Ave,North Charleston, SC 29405
2995,2013 5 Ave,2013 5 Ave,New York, NY 10035
2996,2. 1080 Warburton Avenue,2. 1080 Warburton Avenue,Yonkers, NY 10701
2997,Forrest Senior Apts,376 Bergen Ave,Jersey City, NJ 07304
2998,2. Ocean Green Senior Apts,742 Ocean Avenue,Jersey City, NJ 07304
2999,Watergate Village,655 Americana Dr,Annapolis, MD 21403
3000,Silverado Apts-Houston,1335 Silverado Dr,Houston, TX 77077
3001,2. Westbury,1585 W 115th Ave,Westminster, CO 80234
3002,5800 Woodside Dr,5800 Woodside Dr,Rocklin, CA 95677
3003,155 E 4 St,155 E 4 St,New York, NY 10009
3004,63 Avenue A,63 Avenue A,New York, NY 10009
3005,410 E 6 St,410 E 6 St,New York, NY 10009
3006,80 1 Ave,80 1 Ave,New York, NY 10009
3007,60 1 Ave,60 1 Ave,New York, NY 10009
3008,40 1 Ave,40 1 Ave,New York, NY 10009
3009,430 E 6 St,430 E 6 St,New York, NY 1009
3010,Winthrope House,1727 Massachusetts Ave NW,Washington, DC 20036
3011,1250 N Dearborn St,1250 N Dearborn St,Chicago, IL 60610
3012,Tremont on the Common,151 Tremont St,Boston, MA 02111
3013,Madison,90 Madison St,Westwood, NJ 07675
3014,Stanford Court,500 Center Ave,Westwood, NJ 07675
3015,Regalia Crest Apts,3536 Watt Ave,Sacramento, CA 95821
3016,Lakeside Forest,1251 Wilcrest Dr,Houston, TX 77042
3017,Country Place Rv Park,3043 Waukegan Rd,Conroe, TX 77306
3018,Presidential Plaza 200,30 Newport Pkwy,Jersey City, NJ 07310
3019,University Village at Temple,1701 N 10 St,Philadelphia, PA 19122
3020,387 Bleecker St,387 Bleecker St,Brooklyn, NY 11237
3021,11662 Quartz Dr,11662 Quartz Dr,Auburn, CA 95602
3022,95 Lexington Ave,95 Lexington Ave,New York, NY 10016
3023,The Milano,1002 Kennebec St,Oxon Hill, MD 20745
3024,Arbor View Apts,1212 Southern Ave SE,Washington, DC 20032
3025,Historic Ballston Park,351 N Glebe Rd,Arlington, VA 22203
3026,825 Oak Grove Rd,825 Oak Grove Rd,Concord, CA 94518
3027,101 Hogan Ct,101 Hogan Ct,Walnut Creek, CA 94598
3028,Birchwood,50 Brompton Rd,Great Neck, NY 11021
3029,Heritage Park Apts,4353 Heritage Dr,Liverpool, NY 13090
3030,Queens Manor,2703 Allison St,Mount Rainier, MD 20712
3031,6930 Commerce Blvd,6930 Commerce Blvd,Rohnert Park, CA 94928
3032,2 Birchwood,50 Brompton Rd,Great Neck, NY 11021
3033,3 Birchwood,50 Brompton Rd,Great Neck, NY 11021
3035,Jasmine Park Apts,2701 Pasadena Blvd,Pasadena, TX 77502
3036,Champion Oaks,14150 Wunderlich Dr,Houston, TX 77069
3037,Timbers of Deerbrook,9814 FM 1960 Rd W,Humble, TX 77338
3038,Trilogy Apts,41452 E Archwood Dr,Belleville, MI 48111
3040,Palms At Glendale Apts,6112 N 67 Ave,Glendale, AZ 85301
3041,Thornwood House Apts,1 Thornwood Mall,University Park, IL 60484
3042,London Park Towers,5375 Duke St,Alexandria, VA 23304
3043,Magnolia Park Apts,1527 Park Blvd,Camden, NJ 08103
3044,Oakdale Village Apts,1213 Gentry Ave N,Oakdale, MN 55128
3045,Oakdale Village Apts,1224 Glenbrook Ave N,Oakdale, MN 55128
3046,Oakdale Village Apts,1246 Glenbrook Ave N,Oakdale, MN 55128
3047,Oakdale Village Apts,6276 12th ST N,Oakdale, MN 55128
3048,Oakdale Village Apts,6282 12th ST N,Oakdale, MN 55128
3049,Atlantic Aerotropolis Apartment Homes,3640 S Fulton Ave,Atlanta, GA 30354
3050,Central Park of Haines City,1101 W Commerce Ave Haines City,Haines City, FL 33844
3051,Lacrosse Estates,761 E Anamosa St,Rapid City, SD 57701
3052,Country Club Apts,7491 E Furnace Branch Rd,Glen Burnie, MD 21060
3053,10440 Croetto Way,10440 Croetto Way,Rancho Cordova, CA 95670
3054,5200 Arden Way,5200 Arden Way,Carmichael, CA 95608
3055,64 E 86 St,64 E 86 St,New York, NY 10028
3056,345 S Colverdale Ave,345 S Colverdale Ave,Los Angeles, CA 90036
3057,2. 2626 Tunlaw RD NW,2. 2626 Tunlaw RD NW,Washington, DC 20007
3058,South Ridge at County Line,1100 County Line Rd,Kansas City, KS 66103
3059,2. Crown Colony,379 Imperial Way,Daly City, CA 94015
3060,325 Main St,325 Main St,White Plains, NY 10601
3061,Parkview Court Apts,1607 Patricia Dr,Yeadon, PA 19050
3062,Post Hyde Park,502 S Fremont Ave,Tampa, FL 33606
3063,3. Auburn Glen Apts,8024 Southside Blvd,Jacksonville, FL 32256
3064,Park at Marbella,6017 Roosevelt Blvd,Jacksonville, FL 32244
3065,Sausalito Apts,16250 Imperial Valley,Houston, TX 77060
3066,Concordia West Apts,122 Lilly Rd NE,Olympia, WA 98506
3067,Forest Place,1600 NE 1356 St,North Miami, FL 33181
3068,The Athena Apts,1412 Steele St,Denver, CO 80206
3069,Oasis At Wekiva,518 Lake Bridge Ln,Apopka, FL 32703
3070,Sandpiper Apts,400 Sandpiper Ln,Casselberry, FL 32707
3071,430-450 Shore Rd,450 Shore Rd,Long Beach, NY 11561
3072,1595 Fulton St,1595 Fulton St,Brooklyn, NY 11213
3073,35 Prospect Park W,35 Prospect Park W,Brooklyn, NY 11210
3074,225 W 25 St,225 W 25 St,New York, NY 10001
3075,Pine Ridge Apts,34200 Ridge Rd,Willoughby, OH 44094
3076,Pine Ridge Apts,2250 Par Ln,Willoughby, OH 44094
3077,Pine Ridge Apts,2260 Par Ln,Willoughby, OH 44095
3078,Copper Tree,1414 SOM CENTER RD,Mayfield Heights, OH 44124
3079,Copper Tree,1422 Som Center Rd,Mayfield Heights, OH 44124
3080,Washington Square Apts,108 W Washington St,CHAMPAIGN, IL 61820
3081,Oscar Steer Place,1202 E Harding Dr,Urbana, IL 61801
3082,RETREAT AT LAKELAND,5115 N SOCRUM LOOP RD,Lakeland, FL 33809
3083,Avanti,6409 Hil Mar Dr,Forestville, MD 20747
3084,35-45 81 St Owners,35-45 81 St,Jackson Heights, NY 11372
3085,2. Ridley Brook Apts,111 Macdade Blvd,Folsom, PA 19033
3086,Charleston Condo,225 E 34 St,New York, NY 10016
3087,Dale Forest Phase I,14321 Wrangler Ln,Woodbridge, VA 22193
3088,Dadeland 88,7713 N Kendall Dr,Miami, FL 33156
3089,156 E 37 St,156 E 37 St,New York, NY 10016
3090,Euclid Beach Villa Apts,125 E 156 St,Cleveland, OH 44110
3091,Cloudview Terrace,13500 Skyline Rd NE,Albuquerque, NM 87123
3092,Albuquerque Encore Apts,810 Eubanks Blvd NE,Albuquerque, NM 87123
3093,Quinn,197 Van Vorst,Jersey City, NJ 07302
3095,Winchester Van Buren,6505 14 St NW,Washington, DC 20012
3096,Carrington Place Apts,35250 Freedom Rd,Farmington Hills, MI 48335
3097,Foundry Phase II,70 Johnes St,Newburgh, NY 12550
3098,Beacon View Apts,1701 12 Ave S,Seattle, WA 98144
3099,Eagle Landing Apts,4500 Silver Star Rd,Orlando, FL 32808
