cva,name,street,address
4845,Ogden Avenue Associates,Ogden Avenue Associates,Bronx, NY 10452
4846,Kenilworth Towers,Kenilworth Towers,Bladensburg, MD 20710
4847,Top of the Hill,Top of the Hill,Temple Hills, MD 20748
4849,Museum Walk Apts,5541 S Everett Ave,Chicago, IL 60637
4850,Cypress View Villas,200 Atwood Ct,Weatherford, TX 76086
4851,1188 Grand Concourse,1188 Grand Concourse,Bronx, NY 10456
4852,Pine Creek Apts,Pine Creek Apts,Houston, TX 77013
4853,Rev Polite Avenue Assoc,Rev Polite Avenue Assoc,Bronx, NY 10459
4854,The Village at Lake Park,The Village at Lake Park,Smyrna, GA 30080
4855,Falstaff Apts,Falstaff Apts,New Orleans, LA 70119
4856,Terrain at Medical Center Apts,Terrain at Medical Center Apts,San Antonio, TX 78240
4857,Franklin Village,Franklin Village,Morristown, NJ 07960
4858,Bainbridge Villas,Bainbridge Villas,Austin, TX 78704
4859,Compass Point Apts- Pascagoula,4100 Chicot Rd,Pascagoula, MS 39581
4860,Avalon Santa Monica on Main,2000 Main St,Santa Monica, CA 90405
4861,181 E 161 St,181 E 161 St,Bronx, NY 10451
4862,Avalon-Cortez Hill,Avalon-Cortez Hill,San Diego, CA 92101
4863,Glenbrook Apts,Glenbrook Apts,Riverside, CA 92505
4864,Creston Avenue Associates,Creston Avenue Associates,Bronx, NY 10453
4865,7920 19 Ave,7920 19 Ave,Brooklyn, NY 11204
4867,Woodstock Terrace,Woodstock Terrace,Bronx, NY 10456
4868,Copper Canyon,Copper Canyon,Phoenix, AZ 85029-2767
4869,Copper Canyon,Copper Canyon,Phoenix, AZ 85029-2767
4870,Bainbridge Villas,Bainbridge Villas,Austin, TX 78704
4871,Excelsior I,Excelsior I,Hackensack, NJ 07601
4872,Emerald Pines,Emerald Pines,Gulfport, MS 39501
4873,Terrace at Uptown,Terrace at Uptown,Albuquerque, NM 87110
4874,Kent Village,Kent Village,Hyattsville, MD 20787
4875,2 Cooper Square,2 Cooper Square,New York, NY 10003
4876,8023 19 Ave,8023 19 Ave,Brooklyn, NY 11214
4878,Tides at South Tempe,Tides at South Tempe,Tempe, AZ 85282
4879,Vaseo,Vaseo,Phoenix, AZ 85022
4880,Block II Apts-Little Rock,Block II Apts-Little Rock,Little Rock, AR 72201
4881,Trevor A Condominium,Trevor A Condominium,Columbia, MD 21045
4882,680 Fort Washington Ave,680 Fort Washington Ave,New York, NY 10040
4883,Heritage Homes,Heritage Homes,New Rochelle, NY 10801
4884,Pentacostal Square,Pentacostal Square,Chester, PA 19013
4885,Monticello Falls Church,7241 Parkwood Ct,Falls Church, VA 22042
4886,Argosy Apts,Argosy Apts,Austin, TX 78757
4887,Sky Gate Apts,Sky Gate Apts,Westland, MI 48185
4888,Huntersville Apts,300 Hunters Rd,Huntersville, NC 28078
4889,Gardens At Country Club,160 Dalewood Dr,Winston Salem, NC 27104
4890,Prospect Palace,Prospect Palace,Brooklyn, NY 11213
4891,Colebrook Apts - Part 2,Colebrook Apts - Part 2,Lancaster, PA 17601
4892,Aztec Villa Apts,Aztec Villa Apts,Thornton, CO 80260
4893,Skyline Apts,Skyline Apts,Thornton, CO 80229
4894,Soco On the Lake,Soco On the Lake,Austin, TX 78704
4895,The Linville,116 6 St NE,Washington, DC 20002
4896,1720 E 13 St,1720 E 13 St,Brooklyn, NY 11229
4897,Coronado South,Coronado South,Newport Beach, CA 92663
4898,Villas of Pasadena,Villas of Pasadena,Pasadena, CA 91101
4899,Vineyard,Vineyard,Glendale, AZ 85307
4900,McArthur Park Condominium,McArthur Park Condominium,Cabin John, MD 20818
4901,The Envoy,The Envoy,Washington, DC 20009
4902,Lee Valley Apts,Lee Valley Apts,Springfield, VA 22150
4903,Highland Hills,Highland Hills,Jackson, MS 39206
4904,Camelot Apts,Camelot Apts,Jackson, MS 39209
4905,Azalea Christian Manor,Azalea Christian Manor,Jackson, MS 39206
4906,Magnolia Park I & II Apts.,Magnolia Park I & II Apts.,Jackson, MS 39203
4907,Westview North Apts,9750 Westview Dr,Parma, OH 44129
4908,Horizons at Wawayanda,Horizons at Wawayanda,Middletown, NY 10940
4909,1035 Grand Concourse,1035 Grand Concourse,Bronx, NY 10452
4910,Relais Esplanade Apts,Relais Esplanade Apts,Kenner, LA 70065
4911,Briarwood,Briarwood,Houston, TX 77057
4912,8000 4 Ave,8000 4 Ave,Brooklyn, NY 11209
4913,Casa Familia,130 Sylvan Ave,New Haven, CT 06519
4914,Casa Otonal,135 Sylvan Ave,New Haven, CT 06519
4915,Randolph Towers,3900 14 St NW,Washington, DC 20011
4916,73 Myrtle Ave,73 Myrtle Ave,Irvongton, NJ 07111
4917,73 Myrtle Ave,73 Myrtle Ave,Irvongton, NJ 07111
4918,Lake Apts,Lake Apts, 4800 San Mateo Lane NE,Albuquerque, NM 87109
4919,Gables At Richmond Apts,3400 Ocee Street,Houston, TX 77063
4920,Lake Eden Apts,Lake Eden Apts,Columbus, OH 43228
4921,Lake Eden Apts,Lake Eden Apts,Columbus, OH 43228
4922,Bunker Hill Towers,Bunker Hill Towers,Los Angeles, CA 90012
4923,Vaseo,Vaseo,Phoenix, AZ 85022
4924,Soco On The Lake,222 E Riverside Dr,Austin, TX 78704
4925,Rosemont Vinings Ridge,Rosemont Vinings Ridge,Atlanta, GA 30339
4926,New Settlement Apts,New Settlement Apts,Bronx, NY 10452
4927,2100-2110 Bronx Park E,2100-2110 Bronx Park E,Bronx, NY 10462
4928,8000 4 Ave,8000 4 Ave,Brooklyn, NY 11209
4929,Boricua Village,491 E 162 St,Bronx, NY 10451
4930,73 Myrtle Ave,73 Myrtle Ave,Irvington, NJ 07111
4931,Barbara Apts,Barbara Apts,Washington, DC 20002
4933,Forest Park,3708 Garden Oaks Drive,New Orleans, LA 70114
4935,505 Clinton Ave,505 Clinton Ave,Newark, NJ 07108
4936,491 E 162 St,491 E 162 St,Bronx, NY 10451
4937,Woodland Pointe Apts,6850 Ashwood Rd,Saint Paul, MN 55125
4938,Waterview Towers,2360 Cropsey Ave,Brooklyn, NY 11214
4939,South Main Artspace Lofts,138 Saint Paul Ave,Memphis, TN 38126
4940,University Garden Manor,2059 N Cabana Circle Dr,Memphis, TN 38105
4941,Waterview Towers,1935 Shore Pkwy,Brooklyn, NY 11214
4942,Two Sutton Place South,2 Sutton Pl S,New York, NY 10022
4943,2100-2110 Bronx Park E,2100 Bronx Park E,Bronx, NY 10462
4944,Morris Ave Cornerstone Assoc,3000 Park Ave,Bronx, NY 10451
4945,448 E 87th Street,448 E 87th Street,New York, NY 10128
4946,Windsor Gates Apts,7821 Zane Ave N,Brooklyn Park, MN 55443
4947,Two Sutton Place South,2 Sutton Pl S,New York, NY 10022
4948,New Hope Garden Apts,5600 Zealand Ave N,New Hope, MN 55428
4949,Towne Oaks Apts,1331 N Sherwood Forest Dr,Baton Rouge, LA 70815
4950,Burgundy Apts,2911 Hillsboro Ave N,New Hope, MN 55427
4951,Ashley Apts,3472 Andrews Ct,laurel, MD 20724
4952,1443 S 45 St,1443 S 45 St,San Diego, CA 92113
4953,Franciscan Hoa,6780 Friars Rd,San Diego, CA 92108
4954,River Pointe Apts,7855 E River Rd,Fridley, MN 55432
4955,Wingate Apts,7700 49th Ave N,New Hope, MN 55428
4956,Linden Hill Coop 2 Corp,28-02 Parsons Blvd,Flushing, NY 11354
4957,Linden Hill Coop 2 Corp,28-01 Parsons Blvd,Flushing, NY 11354
4958,Linden Hill Coop 2 Corp,27-04 Parsons Blvd,Flushing, NY 11354
4959,Linden Hill Coop 2 Corp,26-21 Union Street,Flushing, NY 11354
4960,Linden Hill Coop 2 Corp,142-20 26 Ave,Flushing, NY 11354
4961,Lincoln Place,4401 San Pedro Dr Ne,Albuquerque, NM 87109
4963,Banner Ave Apts,2750 E. 12th St.,Brookyn, NY 11235
4964,Banner Ave Apts,1125 Banner Ave.,Brookyn, NY 11235
4965,25 5th Ave,25 5th Ave.,New York, NY 10003
4967,New School - 15th street,318 East 15st,New York, NY 10003
4968,Sunset Pointe,6500 Montgomery Blvd,Albuquerque, NM 87109
4969,3901 Nostand Ave,3901 Nostand Ave,Brooklyn, NY 11235
4970,Carlisle Square,4601 Carlisle Blvd NE,Albuquerque, NM 87109
4971,145 Prospect Park w,145 Prospect Park w,Brookyn, NY 11215
4972,866 E 178 St,866 E 178 St,Bronx, NY 10460
4973,Masfield woods,710 snowberry Ct,Baltimore, MD 21221
4974,Highfield House Condo,4000 N Charles St,Baltimore, MD 21218
4975,Eden Park Apts,6455 Zane Avenue,Brooklyn Park, MN 55429
4976,2003-2005 Walton Ave,2003-2005 Walton Ave,Bronx, NY 10453
4977,Solon Club Apts,26463 Solon Rd,Oakwood Village, OH 44146
4978,Melrose Avenue Associates,415 E 157 St,Bronx, NY 10451
4979,128 E Clarke Pl,128 E Clarke Pl,Bronx, NY 10452
4980,University Avenue Association,1001 Martin Luther King Blvd,Bronx, NY 10452
4981,Tunlaw Gardens,3903 Davis PL NW,Washington, DC 20007
4982,Harbour Landing - Corpus Christi,8033 S Padre Island Dr,Corpus Christi, TX 78412
4983,3901-3903 Nostrand Ave,3901-3903 Nostrand Ave,Brooklyn, NY 11235
4984,Fort Stevens Place,1339 Fort Stevens DR NW,Washington, DC 20011
4985,203-205 E 89 Owners Corp,205 E 89 street - RM 1,New York, NY 10128
4986,Landmark Towers,4750 N Central Ave,Phoenix, AZ 85012
4987,128 E Clarke Pl,128 E Clarke Pl,Bronx, NY 10452
4988,Riverside Plaza Apts,6253 OXON HILL RD,Oxon Hill, MD 20745
4989,Hopkins House,110 W 39 Street,Baltimore, MD 21210
4990,BAINBRIDGE VILLAS,3603 SOUTHRIDGE DR,Austin, TX 78704
4991,25 5 Ave,25 5 Ave,New York, NY 10003
4992,1800 East 12th Street,1800 East 12th Street,Brooklyn, NY 11229
4993,University Avenue Association,1001 Martin Luther,Bronx, NY 10452
4994,Village Green of Lansing,5200 Mall Dr W,Lansing, MI 48917
4995,1026 Clinton St LLC,1032 Clinton St 1032,Hoboken, NJ 07030
4996,Sunset Pointe,6500 Montgomery Blvd,Albuquerque, NM 87109
4997,Hillcrest Townhomes,1000 E Main Street,Spartanburg, SC 29307
4998,Chateau Riveria,22316 La Seine Street,Southfield, MI 48075
4999,Belle Haven II,Belle Haven II,Alexandria, VA 22309
5000,Steward Towers,Steward Towers,Laurel, MD 20707
5001,Harbour Landing - Corpus Christi,8033 S PADRE ISLAND DR,Corpus Christi, TX 78412
5002,Cloverleaf Park Apts,9401 Polk Street,Blaine, MN 55434
5003,Sun Village,801 Locust PL NE,Albuquerque, NM 87102
5004,Potomac Oaks Condo,780 Quince Orchard Blvd,Gaithersburg, MD 20878
5005,The Willow Apts,116B Warwickshire Lane,Glen Burnie, MD 21061
5006,1560 Ocean PKWY,1560 Ocean PKWY,Brooklyn, NY 11230
5007,4345 Webster Ave,4345 Webster Ave,Bronx, NY 10470
5008,The Reserve at Westwood,10225 Bissonnet St,Houston, TX 77036
5009,Riviera the #4189,26011 Lakeshore Blvd,Euclid, OH 44132
5010,10435 Lindley Ave,10435 Lindley Ave,Northridge, CA 91326
5011,Oaks on Clark,46 Clark Ave,San Antonio, TX 78223
